trial,asa_decay,Average Empire Area,Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
0,0.01,148.58333333333334,36,14,9,2,3,0,0,2,2,2,0,1,0,1
1,0.03,162.3939393939394,33,13,6,3,2,1,0,2,1,1,1,1,0,2
2,0.06,87.08064516129032,62,40,4,6,4,3,0,2,2,0,0,0,0,1
3,0.02,181.76666666666668,30,11,4,2,3,2,3,1,0,3,0,0,0,1
4,0.08,104.11538461538461,52,28,9,6,0,3,1,2,1,1,0,0,0,1
5,0.07,114.1063829787234,47,23,10,4,1,3,3,0,1,0,0,0,0,2
6,0.05,140.55263157894737,38,17,5,2,4,3,2,1,1,0,0,1,2,0
7,0.04,141.05263157894737,38,16,7,4,3,3,1,2,0,1,0,0,0,1
8,0.1,101.16981132075472,53,31,8,4,1,3,1,1,0,2,0,1,0,1
9,0.11,125.74418604651163,43,21,6,3,2,2,1,3,1,3,1,0,0,0
10,0.15,119.28888888888889,45,25,2,5,4,2,1,1,1,3,0,0,0,1
11,0.09,112.47916666666667,48,25,13,1,1,1,3,0,1,1,0,0,0,2
12,0.16,90.7457627118644,59,35,9,5,2,0,4,3,0,0,0,0,0,1
13,0.13,97.45454545454545,55,28,5,11,3,1,3,2,1,1,0,0,0,0
14,0.12,82.33846153846154,65,42,9,4,4,2,0,2,1,0,0,0,0,1
15,0.14,79.40298507462687,67,38,11,6,5,1,4,0,2,0,0,0,0,0
16,0.18,100.56603773584905,53,24,13,6,2,3,2,1,0,0,1,0,0,1
17,0.17,95.125,56,34,5,5,4,2,1,0,3,0,0,1,0,1
18,0.19,97.0909090909091,55,28,8,8,4,1,3,2,0,0,0,0,0,1
19,0.22,84.4920634920635,63,38,9,5,3,2,2,2,1,0,0,0,0,1
20,0.23,109.3265306122449,49,24,12,1,4,0,3,3,0,0,0,0,1,1
21,0.2,81.36363636363636,66,44,11,1,0,1,5,2,0,0,0,0,0,2
22,0.21,97.98181818181818,55,32,10,2,2,2,2,2,2,0,0,0,0,1
23,0.24,74.06944444444444,72,43,15,4,3,2,1,2,0,1,0,0,0,1
24,0.29,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.25,78.94117647058823,68,37,15,6,5,1,1,1,1,0,0,0,0,1
26,0.3,82.18461538461538,65,35,16,4,3,3,1,0,0,0,2,0,1,0
27,0.01,179.76666666666668,30,14,5,2,2,1,1,1,1,0,0,0,0,3
28,0.26,109.59183673469387,49,28,7,2,4,2,2,1,0,2,0,0,0,1
29,0.27,82.44615384615385,65,41,11,1,5,0,3,2,0,1,0,0,0,1
30,0.28,107.58,50,25,7,7,3,2,2,2,1,0,0,0,0,1
31,0.02,106.6,50,23,11,4,4,2,1,2,1,0,0,0,2,0
32,0.03,149.36111111111111,36,20,5,2,2,1,0,2,2,0,0,0,0,2
33,0.04,138.6153846153846,39,17,8,3,2,2,2,0,1,1,1,1,0,1
34,0.06,118.4,45,26,5,3,1,1,3,0,3,0,1,0,1,1
35,0.05,106.3,50,26,10,0,2,3,3,1,5,0,0,0,0,0
36,0.07,119.86666666666666,45,24,6,3,0,4,3,3,1,0,0,0,0,1
37,0.08,133.5,40,18,9,2,1,2,4,0,2,0,0,1,0,1
38,0.09,102.96153846153847,52,26,12,3,3,2,2,1,1,1,0,0,0,1
39,0.1,125.30232558139535,43,27,3,3,2,3,1,1,0,0,0,0,0,3
40,0.11,92.39655172413794,58,33,12,5,0,1,3,1,1,0,0,0,0,2
41,0.12,130.90243902439025,41,19,9,4,0,1,2,1,1,1,0,1,0,2
42,0.14,98.50909090909092,55,29,9,5,4,3,0,2,1,0,1,0,0,1
43,0.13,91.66101694915254,59,35,11,1,4,1,1,2,2,1,0,0,0,1
44,0.16,121.8409090909091,44,21,5,3,5,1,3,2,3,0,0,0,1,0
45,0.15,111.60416666666667,48,29,3,4,4,1,4,0,0,2,0,0,0,1
46,0.17,110.51020408163265,49,20,13,4,3,3,3,1,1,0,0,0,0,1
47,0.18,94.49122807017544,57,37,5,3,2,2,2,2,2,1,0,0,0,1
48,0.19,108.72,50,30,6,1,4,4,1,1,1,0,1,0,0,1
49,0.2,80.51515151515152,66,32,19,8,1,2,1,1,0,2,0,0,0,0
50,0.21,71.51351351351352,74,52,7,5,3,2,2,0,1,0,1,0,0,1
51,0.23,89.6,60,33,9,7,5,1,3,0,0,0,1,0,0,1
52,0.25,81.42424242424242,66,38,12,4,3,3,1,1,3,0,0,1,0,0
53,0.24,87.25806451612904,62,37,11,5,2,2,2,1,1,0,0,0,0,1
54,0.22,81.63076923076923,65,37,13,4,5,3,1,0,0,1,0,0,0,1
55,0.26,83.50769230769231,65,42,7,5,2,3,2,2,1,0,0,0,0,1
56,0.27,73.61643835616438,73,48,11,1,4,3,2,2,1,1,0,0,0,0
57,0.28,111.22448979591837,49,27,7,2,3,2,1,3,2,1,0,0,0,1
58,0.02,169.3125,32,10,10,2,1,0,2,2,2,1,1,0,0,1
59,0.29,85.93548387096774,62,36,8,6,4,1,4,2,0,0,0,0,0,1
60,0.01,148.66666666666666,36,11,9,4,2,3,2,2,0,1,0,0,2,0
61,0.3,99.24074074074075,54,28,8,5,6,1,1,1,1,2,0,0,0,1
62,0.03,105.37254901960785,51,26,11,4,2,2,1,2,1,0,1,0,0,1
63,0.04,123.93023255813954,43,22,9,2,3,2,1,1,0,1,0,0,0,2
64,0.05,123.3409090909091,44,19,9,4,1,3,3,1,1,2,0,0,0,1
65,0.06,90.27118644067797,59,30,14,8,1,0,1,2,0,1,0,1,0,1
66,0.07,95.41071428571429,56,31,9,4,3,4,1,2,0,1,0,0,0,1
67,0.11,103.59615384615384,52,28,7,4,3,4,2,2,1,0,0,0,0,1
68,0.08,92.29310344827586,58,34,14,3,1,0,2,0,2,0,0,0,0,2
69,0.1,96.41071428571429,56,34,8,2,5,1,2,1,0,1,0,1,0,1
70,0.09,97.43636363636364,55,28,8,9,6,0,2,1,0,0,0,0,0,1
71,0.12,105.68627450980392,51,25,11,3,2,1,4,0,3,1,0,1,0,0
72,0.13,93.7719298245614,57,30,11,5,3,1,4,2,0,0,0,0,0,1
73,0.14,93.64912280701755,57,34,7,4,2,3,2,1,1,2,1,0,0,0
74,0.17,95.375,56,36,7,4,1,1,2,2,0,1,0,0,0,2
75,0.16,122.20454545454545,44,24,4,5,2,4,1,0,1,1,1,0,0,1
76,0.15,96.17857142857143,56,35,7,3,4,1,1,1,1,0,0,0,1,2
77,0.18,92.39655172413794,58,34,5,7,2,6,1,1,1,0,0,0,0,1
78,0.2,87.52459016393442,61,31,13,9,0,2,2,2,1,0,1,0,0,0
79,0.19,106.68,50,24,10,7,2,1,0,1,1,1,1,1,1,0
80,0.21,62.67058823529412,85,62,8,6,2,2,2,1,1,0,0,0,0,1
81,0.22,88.49180327868852,61,42,5,6,0,1,3,1,0,0,0,0,1,2
82,0.23,95.94642857142857,56,31,9,6,1,1,1,4,0,1,2,0,0,0
83,0.26,92.46551724137932,58,36,5,5,3,1,2,1,1,4,0,0,0,0
84,0.24,93.34482758620689,58,34,8,5,1,5,2,1,0,0,1,0,0,1
85,0.27,98.16363636363636,55,31,8,5,2,2,2,4,0,0,0,0,0,1
86,0.25,94.50877192982456,57,31,12,4,0,6,2,1,0,0,0,0,0,1
87,0.28,86.96774193548387,62,36,10,4,4,2,3,2,0,0,0,0,0,1
88,0.29,93.64912280701755,57,37,7,4,2,3,1,0,1,0,0,1,0,1
89,0.3,93.08620689655173,58,30,11,5,4,2,2,1,1,0,1,0,1,0
