trial,elevation_constant,Average Empire Area (Hexes),Average Empire Area (m^2),Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
0,3.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,272.5,235167500000.0,20,7,0,2,1,0,1,2,1,0,2,0,0,4
2,1.0,282.63157894736844,243911052631.57895,19,8,0,2,0,1,0,1,0,0,1,0,2,4
3,2.5,244.0,210572000000.0,22,9,0,1,1,1,4,1,0,1,0,0,1,3
4,3.0,225.58333333333334,194678416666.6667,24,11,1,1,1,0,2,1,1,0,1,2,0,3
5,0.0,298.05555555555554,257221944444.44443,18,5,0,1,1,2,0,1,3,0,0,0,2,3
6,1.5,285.2631578947368,246182105263.15787,19,7,1,1,0,0,1,2,0,1,1,1,1,3
7,2.0,296.0,255448000000.0,18,5,1,0,1,1,2,1,1,1,0,2,1,2
8,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4.0,235.17391304347825,202955086956.52173,23,6,2,1,1,4,2,1,0,1,1,1,2,1
10,4.5,198.4814814814815,171289518518.51852,27,10,3,2,2,1,1,1,1,1,2,0,1,2
11,6.5,168.84375,145712156250.0,32,8,5,4,3,6,1,0,1,1,2,0,1,0
12,5.0,256.7142857142857,221544428571.4286,21,3,1,1,2,4,3,1,3,1,1,0,0,1
13,7.5,139.05128205128204,120001256410.25641,39,10,4,10,9,1,3,0,0,1,1,0,0,0
14,6.0,150.83333333333334,130169166666.66667,36,12,3,5,4,6,2,0,3,0,0,0,1,0
15,5.5,178.6,154131800000.0,30,9,5,3,1,2,2,0,3,3,0,2,0,0
16,8.0,115.02127659574468,99263361702.12766,47,13,14,8,6,1,0,3,1,1,0,0,0,0
17,8.5,84.75,73139250000.0,64,28,15,13,3,2,1,0,1,1,0,0,0,0
18,9.0,51.70192307692308,44618759615.38462,104,70,19,8,3,3,0,0,1,0,0,0,0,0
19,9.5,30.130681818181817,26002778409.090908,176,145,24,4,2,0,1,0,0,0,0,0,0,0
