trial,power_decline,number of empires with more than 5 hexes
0,0.4,216
1,0.5,193
2,0.7,179
3,0.8,166
4,0.6,187
5,0.1,470
6,0.3,268
7,0.2,381
8,1.0,162
9,1.1,150
10,1.2,141
11,1.5,122
12,0.9,175
13,1.3,139
14,1.6,110
15,1.4,136
16,1.7,109
17,1.8,110
18,2.1,87
19,1.9,113
20,2.3,89
21,2.0,103
22,2.4,75
23,2.2,99
24,2.5,92
25,2.6,70
26,2.7,76
27,3.0,68
28,2.8,51
29,2.9,81
30,3.1,63
31,3.2,60
32,3.3,75
33,3.6,57
34,3.4,60
35,3.5,51
36,3.9,54
37,3.7,64
38,3.8,51
39,4.0,55
40,4.1,66
41,4.2,58
42,4.5,33
43,4.7,37
44,4.3,51
45,4.6,37
46,4.8,34
47,4.4,44
48,5.2,28
49,5.1,36
50,5.0,42
51,5.3,42
52,4.9,51
53,5.4,53
54,5.5,32
55,5.6,32
56,5.7,40
57,6.1,35
58,5.8,36
59,6.0,33
60,6.4,32
61,6.3,46
62,5.9,41
63,6.2,42
64,6.5,31
65,6.6,28
66,6.7,32
67,6.8,30
68,6.9,36
69,7.0,25
70,7.1,30
71,7.2,29
72,7.3,34
73,7.5,27
74,7.6,30
75,7.9,24
76,7.4,20
77,7.7,46
78,8.0,35
79,7.8,28
80,0.3,270
81,0.5,194
82,0.1,481
83,0.4,219
84,0.2,387
85,0.8,171
86,0.7,170
87,0.6,177
88,1.1,161
89,0.9,163
90,1.3,135
91,1.2,148
92,1.0,170
93,1.5,125
94,1.4,132
95,1.6,126
96,1.7,134
97,1.8,110
98,1.9,101
99,2.2,81
100,2.3,94
101,2.0,94
102,2.4,99
103,2.1,115
104,2.5,86
105,2.6,72
106,2.7,73
107,2.8,75
108,3.0,78
109,3.1,57
110,3.2,57
111,2.9,71
112,3.4,52
113,3.6,55
114,3.8,48
115,3.3,64
116,3.5,63
117,3.7,56
118,3.9,47
119,4.0,49
120,4.1,55
121,4.2,44
122,4.4,39
123,4.7,47
124,4.3,38
125,4.5,51
126,4.6,41
127,4.8,34
128,5.0,22
129,5.2,35
130,4.9,48
131,5.3,36
132,5.5,36
133,5.4,30
134,5.1,40
135,5.6,41
136,5.7,35
137,5.8,45
138,6.0,31
139,5.9,30
140,6.2,36
141,6.3,42
142,6.1,34
143,6.4,39
144,6.5,27
145,6.6,29
146,6.9,26
147,6.8,22
148,6.7,43
149,7.1,33
150,7.0,30
151,7.2,24
152,7.3,34
153,7.4,27
154,7.5,30
155,7.7,30
156,7.9,28
157,7.8,23
158,8.0,29
159,7.6,28
160,0.1,456
161,0.2,373
162,0.8,164
163,0.7,183
164,0.5,201
165,0.6,185
166,0.3,277
167,0.4,223
168,0.9,162
169,1.1,156
170,1.0,156
171,1.5,144
172,1.6,120
173,1.3,132
174,1.2,144
175,1.4,119
176,1.7,127
177,1.8,114
178,2.0,98
179,2.3,66
180,1.9,117
181,2.4,79
182,2.1,97
183,2.2,83
184,2.5,82
185,3.1,56
186,2.6,58
187,2.8,77
188,2.7,78
189,3.2,57
190,2.9,69
191,3.0,65
192,3.3,62
193,3.4,59
194,3.7,62
195,3.5,55
196,3.6,50
197,3.9,47
198,3.8,49
199,4.0,58
200,4.1,43
201,4.2,55
202,4.7,34
203,4.6,36
204,4.4,54
205,4.3,53
206,4.5,48
207,4.8,35
208,4.9,35
209,5.0,35
210,5.3,24
211,5.4,32
212,5.2,42
213,5.5,35
214,5.1,55
215,5.6,44
216,5.8,35
217,5.7,47
218,5.9,33
219,6.0,41
220,6.1,47
221,6.3,33
222,6.2,39
223,6.4,35
224,6.5,34
225,6.6,23
226,6.7,26
227,7.0,24
228,6.8,32
229,7.1,22
230,6.9,35
231,7.2,43
232,7.3,32
233,7.5,36
234,7.4,31
235,7.7,29
236,7.6,29
237,7.8,32
238,8.0,32
239,7.9,29
